family,branch,branch_label,step,source_key,source_structure_id,source_ev,expected_top,top_label,top_projection_kind,top_structure_id,top_memory_id,top_delta_ev,target_count,memory_target_count,round_count,depth_max,frontier_pruned_count,hit_AB,hit_ABC,hit_ABY,hit_terminal_memory,hit_switch_memory,hit_distractor_memory
F07,chain_follow,连续承接,2,AB,st_000290,1.06,ABC,ABC,structure,st_000291,,0.64357143,2,0,1,1,0,0,1,1,0,0,0
F07,chain_follow,连续承接,3,ABC,st_000291,1.06,memory:terminal,memory:terminal,memory,st_000292,em_000109,1.06,1,1,1,1,0,0,0,0,1,0,0
F07,wrong_seed_control,错误种子对照,1,D,st_000301,1.06,DX,memory:distractor,memory,st_000302,em_000113,1.06,1,1,1,1,0,0,0,0,0,0,1
F07,wrong_seed_control,错误种子对照,2,DX,st_000302,1.06,memory:distractor,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F07,low_budget_control,低预算剪枝,1,A,st_000305,0.018,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F07,no_carry_control,无承接对照,1,A,st_000313,1.06,AB,AB,structure,st_000314,,1.06,1,0,1,1,0,1,0,0,0,0,0
F07,no_carry_control,无承接对照,2,A,st_000313,1.06,AB,AB,structure,st_000314,,1.06,1,0,1,1,0,1,0,0,0,0,0
F07,no_carry_control,无承接对照,3,A,st_000313,1.06,AB,AB,structure,st_000314,,1.06,1,0,1,1,0,1,0,0,0,0,0
F07,branch_switch,权重转向,1,A,st_000321,1.06,AB,AB,structure,st_000322,,1.06,1,0,1,1,0,1,0,0,0,0,0
F07,branch_switch,权重转向,2,AB,st_000322,1.06,ABY,ABY,structure,st_000327,,0.64357143,2,0,1,1,0,0,1,1,0,0,0
F07,branch_switch,权重转向,3,ABY,st_000327,1.06,memory:switch,memory:switch,memory,st_000328,em_000123,1.06,1,1,1,1,0,0,0,0,0,1,0
F07,terminal_stop,终端停止,1,A,st_000329,1.06,AB,AB,structure,st_000330,,1.06,1,0,1,1,0,1,0,0,0,0,0
F07,terminal_stop,终端停止,2,AB,st_000330,1.06,ABC,ABC,structure,st_000331,,0.64357143,2,0,1,1,0,0,1,1,0,0,0
F07,terminal_stop,终端停止,3,ABC,st_000331,1.06,memory:terminal,memory:terminal,memory,st_000332,em_000124,1.06,1,1,1,1,0,0,0,0,1,0,0
